,files,keys,en,hi,id,ko,th,zh-Hant,Base,ja,vi,zh-Hans
293,Flabuless/LocalizationStrings/Localizable.strings,"""Delivery:ReceiverInfo:Alert:ConfirmEmail""","""Confirm email should not be empty!"";","""Confirm email should not be empty!"";","""Confirm email should not be empty!"";","""Confirm email should not be empty!"";","""Confirm email should not be empty!"";","""Confirm email should not be empty!"";",,"""Confirm email should not be empty!"";","""Confirm email should not be empty!"";","""Confirm email should not be empty!"";"
294,Flabuless/LocalizationStrings/Localizable.strings,"""Description""",,,,,,,,"""特典内容"";",,
295,Flabuless/LocalizationStrings/Localizable.strings,"""Please enter duration""","""Please enter duration"";","""कृपया अवधि दर्ज करें"";","""Masukkan durasi"";","""기간을 입력해 주세요"";","""โปรดป้อนระยะเวลา"";","""請輸入運動時間"";","""Please enter duration"";","""期間を入力してください"";","""Vui lòng nhập thời gian"";","""请输入持续时间"";"
296,Flabuless/LocalizationStrings/Localizable.strings,"""Leaderboard:Team:Label:Subtitle""","""Your Team rank is #%@"";","""आपकी टीम रैंक #%@ है"";","""Tim Anda peringkat #%@"";","""귀하의 팀 순위는 #%@!입니다"";","""อันดับทีมคุณอยู่ที่ #%@"";","""您當前的團隊排名是 #%@"";","""Your Team rank is #%@"";","""あなたのチームのランクは現在 %@ 位です。"";","""Đội của bạn đang đứng hạng #%@"";","""您当前 的团队排名是 #%@"";"
297,Flabuless/LocalizationStrings/Localizable.strings,"""Last Six months stats""","""Last Six months stats"";","""पिछले छह महीनों के आंकड़े"";","""Statistik 6 bulan terakhir"";","""최근 6개월 통계"";","""สถิติช่วงหกเดือนที่ผ่านมา"";","""最近六個月的統計數據"";","""Last Six months stats"";","""過去6ヶ月の統計"";","""Dữ liệu Sáu tháng gần đây"";","""最后6个月数据"";"
298,Flabuless/LocalizationStrings/Localizable.strings,"""No Results found""","""No Results found"";","""कोई परिणाम नहीं मिला "";","""Hasil tidak ditemukan"";","""결과 없음"";","""ไม่พบผลลัพธ์"";","""無搜索結果"";","""No Results found"";","""結果が見つかりません"";","""Không tìm thấy Kết quả nào"";","""没有找到结果"";"
299,Flabuless/LocalizationStrings/Localizable.strings,"""out of""","""out of"";","""में से "";","""dari"";","""다음 중에서"";","""จาก"";","""在…之中"";","""out of"";","""から"";","""trong số"";","""超过"";"
300,Flabuless/LocalizationStrings/Localizable.strings,"""6m""","""6m"";",,,,,,"""6m"";","""6ヶ月"";",,
301,Flabuless/LocalizationStrings/Localizable.strings,"""Dashboard:ActivityType:Activity""","""ACTIVITY"";","""ACTIVITY"";","""ACTIVITY"";","""ACTIVITY"";","""ACTIVITY"";","""ACTIVITY"";",,"""アクティビティ"";","""ACTIVITY"";","""ACTIVITY"";"
302,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity:Commmon:SubTitle""","""Please select the date and register."";",,,,,,,"""日付を選択して登録してください."";",,
303,Flabuless/LocalizationStrings/Localizable.strings,"""Whats on your mind""","""Whats on your mind"";","""आपके दिमाग मे क्या है"";","""Whats di pikiran Anda"";","""당신의 마음에 무엇입니까"";","""อะไรในใจของคุณ"";","""你在想什麼"";","""Whats on your mind"";","""何を考えているの"";","""Whats vào tâm trí của bạn"";","""你在想什么"";"
304,Flabuless/LocalizationStrings/Localizable.strings,"""PhysicalDelivery:AlertMessage:Redeem""","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";",,"""この商品はあなたの%@ポイントと交換されます。\nこれ以上進むとキャンセルはできません。"";","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";","""Are you sure you want to redeem and deliver this reward to your address? This will deduct %@ points."";"
305,Flabuless/LocalizationStrings/Localizable.strings,"""Points""","""Points"";","""अंक "";","""Poin"";","""포인트"";","""แต้ม"";","""積分"";","""Points"";","""ポイント"";","""Điểm"";","""分数"";"
306,Flabuless/LocalizationStrings/Localizable.strings,"""Boxing""","""Boxing"";","""बॉक्सिंग"";","""Tinju"";","""복싱"";","""มวย"";","""拳擊"";","""Boxing"";","""ボクシング"";","""Đấm bốc"";","""拳击"";"
307,Flabuless/LocalizationStrings/Localizable.strings,"""Old Password field should not be empty.""","""Old Password field should not be empty."";","""ओल्ड पासवर्ड फ़ील्ड खाली नहीं होना चाहिए."";","""Kolom Kata Sandi Lama tidak boleh kosong."";","""기존 패스워드 필드는 공란일 수 없습니다."";","""ช่องรหัสผ่านเดิมไม่ควรจะว่างเปล่า"";","""舊密碼空格不得留空。"";","""Old Password field should not be empty."";","""古いパスワードフィールドは空であってはいけません"";","""Trường Mật khẩu Cũ không thể để trống."";","""旧密码栏不应为空。"";"
308,Flabuless/LocalizationStrings/Localizable.strings,"""Please check the Internet Connection""","""Please check the Internet Connection"";","""Please check the Internet Connection"";","""Silakan periksa Koneksi Internet"";","""인터넷 연결을 확인해 주세요"";","""โปรดตรวจสอบการเชื่อมต่ออินเตอร์เน็ต"";","""請查看網路連接狀況"";","""Please check the Internet Connection"";","""インターネット接続を確認してください"";","""Vui lòng kiểm tra Kết nối Internet"";","""请检查互联网连接"";"
309,Flabuless/LocalizationStrings/Localizable.strings,"""Post to my department only""","""Post to my department only"";","""मेरे विभाग में ही पोस्ट करें"";","""Posting ke departemen saya saja"";","""내 부서에만 게시"";","""โพสต์ไปยังแผนกของฉันเท่านั้น"";","""僅發布至我的部門"";","""Post to my department only"";","""自分の部署にのみ投稿する"";","""Chỉ đăng lên bộ phận của tôi"";","""仅发布到我的部门"";"
310,Flabuless/LocalizationStrings/Localizable.strings,"""Poll successfully created.""","""Poll successfully created."";","""पोल सफलतापूर्वक बनाया गया"";","""Polling berhasil dibuat"";","""성공적으로 생성된 폴링"";","""สร้างแบบสํารวจเสร็จเรียบร้อยแล้ว"";","""投票建立成功"";","""Poll successfully created."";","""ポーリングが正常に作成されました"";","""Thăm dò ý kiến thành công tạo ra"";","""已成功创建投票"";"
311,Flabuless/LocalizationStrings/Localizable.strings,"""Continue""","""Continue"";","""जारी रखें "";","""Lanjutkan"";","""계"";","""ดำเนินการต่อ"";","""繼續"";","""Continue"";","""切断する"";","""Tiếp tục"";","""继续"";"
312,Flabuless/LocalizationStrings/Localizable.strings,"""Error!""","""Error!"";","""त्रुटि!"";","""Terjadi Kesalahan!"";","""오류!"";","""ผิดพลาด!"";","""錯誤！"";","""Error!"";","""エラー！"";","""Lỗi!"";","""错误！"";"
313,Flabuless/LocalizationStrings/Localizable.strings,"""Athletic""","""Athletic"";","""एथलेटिक"";","""Atletis"";","""선수급"";","""แข็งแรงเหมือนนักกีฬา"";","""精英"";","""Athletic"";","""アスレチック"";","""Vận Động Viên"";","""精英"";"
314,Flabuless/LocalizationStrings/Localizable.strings,"""NO RESULT FOUND""","""NO RESULT FOUND"";","""कोई परिणाम नहीं मिला"";","""TIDAK ADA HASIL"";","""결과 찾지 못함"";","""ไม่พบผลลัพธ์"";","""搜索無結果"";","""NO RESULT FOUND"";","""“結果がありません”;"";","""KHÔNG TÌM THẤY KẾT QUẢ NÀO"";","""未找到任何结果"";"
315,Flabuless/LocalizationStrings/Localizable.strings,"""Unable to add meal.""","""Unable to add meal."";","""भोजन जोड़ने में असमर्थ."";","""Gagal tambah makanan."";","""음식을 추가할 수 없습니다."";","""ไม่สามารถเพิ่มมื้ออาหารได้"";","""無法新增飲食內容。"";","""Unable to add meal."";","""食事のデータを追加できません。"";","""Không thể thêm bữa ăn."";","""无法加入餐食。"";"
316,Flabuless/LocalizationStrings/Localizable.strings,"""Notifications""","""Notifications"";","""अधिसूचनाएं "";","""Pemberitahuan"";","""알림"";","""การแจ้งเตือน"";","""通知"";","""Notifications"";","""通知"";","""Thông báo"";","""通知"";"
317,Flabuless/LocalizationStrings/Localizable.strings,"""Basketball""","""Basketball"";","""बास्केटबाल"";","""Bola basket"";","""농구"";","""บาสเกตบอล"";","""籃球"";","""Basketball"";","""バスケットボール"";","""Bóng rổ"";","""篮球"";"
318,Flabuless/LocalizationStrings/Localizable.strings,"""MyActivityHistory""","""My Activity History"";","""मेरी गतिविधियां"";","""Riwayat Aktivitas Saya"";","""내 활동 기록"";","""ประวัติกิจกรรมของฉัน"";","""歷史庫"";","""My Activity History"";","""活動記録"";","""Lịch sử Hoạt động của Tôi"";","""历史库"";"
319,Flabuless/LocalizationStrings/Localizable.strings,"""Activity:SelfRestraint""","""Self-restraint"";",,,,,,,"""不要不急の外出はしない"";",,
320,Flabuless/LocalizationStrings/Localizable.strings,"""Step 2 of 3""","""Step 2 of 3"";","""3 में से स्टेप 2 "";","""Langkah 2 dari 3"";","""3개 중 2단계"";","""ขั้นที่ 2 จาก 3"";","""三步驟中的第二步"";","""Step 2 of 3"";","""ステップ2/3"";","""Bước 2/3"";","""3步中的第2步"";"
321,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity:Success:Message""","""Activity saved successfully and points are awarded."";","""Activity saved successfully and points are awarded."";","""Activity saved successfully and points are awarded."";","""Activity saved successfully and points are awarded."";","""Activity saved successfully and points are awarded."";","""Activity saved successfully and points are awarded."";",,"""登録が完了しました。ポイントの獲得状況は、活動記録からご確認ください。"";","""Activity saved successfully and points are awarded."";","""Activity saved successfully and points are awarded."";"
322,Flabuless/LocalizationStrings/Localizable.strings,"""Lets Get Started!""","""Lets Get Started!"";","""आएँ शुरू करें!"";","""Mari Kita Mulai!"";","""시작하자!"";","""มาเริ่มกันเลย!"";","""讓我們開始吧！"";","""Lets Get Started!"";","""始めましょう！"";","""Băt đâu nao!"";","""让我们开始吧！"";"
323,Flabuless/LocalizationStrings/Localizable.strings,"""Weight (Kgs)""","""Weight (Kgs)"";","""वज़न (किग्रा)"";","""Berat Badan (Kg)"";","""체중 (Kgs)"";","""น้ำหนัก (กก.)"";","""體重（Kg）\","""Weight (Kgs)"";","""重量（Kgs）"";","""Cân nặng (Kg)"";","""重量(千克)"";"
324,Flabuless/LocalizationStrings/Localizable.strings,"""Error""","""Error"";","""एरर"";","""Galat"";","""에러"";","""ข้อผิดพลาด"";","""錯誤"";","""Error"";","""エラー！"";","""Lỗi"";","""错误"";"
325,Flabuless/LocalizationStrings/Localizable.strings,"""Smart Albums""","""Smart Albums"";","""स्मार्ट एल्बम"";","""Album Cerdas"";","""스마트 앨범"";","""อัลบั้มอัจฉริยะ"";","""智能相簿"";","""Smart Albums"";","""スマートアルバム"";","""Kho ảnh thông minh"";","""智能相册"";"
326,Flabuless/LocalizationStrings/Localizable.strings,""" PTS""",""" PTS"";","""पीटीएस"";","""POIN"";","""포인트"";","""คะแนน"";","""分"";",""" PTS"";",""" PTS"";","""ĐIỂM"";","""分"";"
327,Flabuless/LocalizationStrings/Localizable.strings,"""PhysicalDelivery:AlertMessage:DeleteSuccess""","""Your address has been deleted Successfully."";","""Your address has been deleted Successfully."";","""Your address has been deleted Successfully."";","""Your address has been deleted Successfully."";","""Your address has been deleted Successfully."";","""Your address has been deleted Successfully."";",,"""住所の削除が完了しました"";","""Your address has been deleted Successfully."";","""Your address has been deleted Successfully."";"
328,Flabuless/LocalizationStrings/Localizable.strings,"""s""","""s"";",""""";",""""";",""""";",""""";",""""";","""s"";",""""";",""""";",""""";"
329,Flabuless/LocalizationStrings/Localizable.strings,"""Stair Climbing""","""Stair Climbing"";","""सीढ़ियाँ चढ़ना"";","""Panjat Tangga"";","""계단오르기"";","""ออกกำลังก้าวขึ้นบันได"";","""爬樓梯"";","""Stair Climbing"";","""階段登り"";","""Leo Cầu thang"";","""爬楼梯"";"
330,Flabuless/LocalizationStrings/Localizable.strings,"""CREATE POST""","""CREATE POST"";","""पोस्ट बनाएँ"";","""Buat postingan"";","""게시물 만들기"";","""สร้างโพสต์"";","""創建帖子"";","""CREATE POST"";","""投稿の作成"";","""Tạo bài viết"";","""创建帖子"";"
331,Flabuless/LocalizationStrings/Localizable.strings,"""Jun""","""Jun"";","""जून"";","""Juni"";","""6 월"";","""มิถุนายน"";","""君"";","""Jun"";","""Jun"";","""Jun"";","""君"";"
332,Flabuless/LocalizationStrings/Localizable.strings,"""Scuba Diving""","""Scuba Diving"";","""स्कूबा डाइविंग"";","""Selam Skuba"";","""스쿠버다이빙"";","""การดำน้ำลึก"";","""水肺潛水"";","""Scuba Diving"";","""スキューバダイビング"";","""Lặn với Bình dưỡng khí"";","""水肺潜水"";"
333,Flabuless/LocalizationStrings/Localizable.strings,"""Indoor Cycling""","""Indoor Cycling"";","""इन्डोर साईक्लिंग"";","""Bersepeda Dalam Ruang"";","""인도어 사이클링"";","""ปั่นจักรยานในร่ม"";","""室內單車運動"";","""Indoor Cycling"";","""サイクリングマシーン"";","""Đạp xe Trong nhà"";","""室内自行车"";"
334,Flabuless/LocalizationStrings/Localizable.strings,"""VALID TILL ""","""VALID TILL "";","""तक मान्य है"";","""BERLAKU SAMPAI"";","""다음까지 유효"";","""ใช้ได้ถึง"";","""有效期限至"";","""VALID TILL "";","""特典有効期限:"";","""ÁP DỤNG ĐẾN"";","""有效期至"";"
335,Flabuless/LocalizationStrings/Localizable.strings,"""Delivery:ApplierInfo:Alert:City""","""Please enter your city for the Applier Info."";","""Please enter your city for the Applier Info."";","""Please enter your city for the Applier Info."";","""Please enter your city for the Applier Info."";","""Please enter your city for the Applier Info."";","""Please enter your city for the Applier Info."";",,"""申込者情報の市区町村を入力してください。"";","""Please enter your city for the Applier Info."";","""Please enter your city for the Applier Info."";"
336,Flabuless/LocalizationStrings/Localizable.strings,"""Enter password""","""Enter password"";","""पासवर्ड दर्ज करें "";","""Masukkan kata sandi"";","""비밀번호를 입력하세요"";","""ใส่รหัสผ่าน"";","""輸入密碼"";","""Enter password"";","""パスワードを入力する"";","""Nhập mật khẩu"";","""输入密码"";"
337,Flabuless/LocalizationStrings/Localizable.strings,"""Delivery:ApplierInfo:Alert:PostalCode""","""Please enter your post code for the Applier Info."";","""Please enter your post code for the Applier Info."";","""Please enter your post code for the Applier Info."";","""Please enter your post code for the Applier Info."";","""Please enter your post code for the Applier Info."";","""Please enter your post code for the Applier Info."";",,"""申込者情報の郵便番号を入力してください。"";","""Please enter your post code for the Applier Info."";","""Please enter your post code for the Applier Info."";"
338,Flabuless/LocalizationStrings/Localizable.strings,"""Bluetooth state is unknown.""","""Bluetooth state is unknown."";","""ब्लूटूथ की स्थिति अज्ञात है."";","""Status Bluetooth tidak diketahui."";","""블루투스 상태가 알 수 없음입니다."";","""สถานะบลูทูธคือไม่ทราบสถานะ"";","""藍芽狀態不明。"";","""Bluetooth state is unknown."";","""Bluetoothの状態に不具合があります"";","""Trạng thái Bluetooth không xác định."";","""蓝牙状态未知。"";"
339,Flabuless/LocalizationStrings/Localizable.strings,"""Go To Reward""","""Go To Reward"";","""पुरस्कार के लिए जाओ"";","""Go To Reward"";","""보상으로 이동"";","""ไปที่รางวัล"";","""去獎勵"";","""Go To Reward"";","""報酬を得る"";","""Tới phần thưởng"";","""去奖励"";"
340,Flabuless/LocalizationStrings/Localizable.strings,"""Version : ""","""Version : "";","""संस्करण :"";","""Versi:"";","""버전 :"";","""เวอร์ชั่น :"";","""版本:"";","""Version : "";","""バージョン ："";","""Phiên bản :"";","""版本:"";"
341,Flabuless/LocalizationStrings/Localizable.strings,"""Facilities:Detail:PhoneNumber:Label""","""Phone Number"";","""Phone Number"";","""Phone Number"";","""Phone Number"";","""Phone Number"";","""Phone Number"";","""Phone Number"";","""電話番号"";","""Phone Number"";","""Phone Number"";"
342,Flabuless/LocalizationStrings/Localizable.strings,"""SuperHero""","""SuperHero"";","""सुपरहीरो"";","""Pahlawan Super"";","""수퍼 영웅"";","""ซูเปอร์ฮีโร่"";","""超人"";","""SuperHero"";","""スーパーヒーロー"";","""Siêu Anh Hùng"";","""超人"";"
343,Flabuless/LocalizationStrings/Localizable.strings,"""You are not eligible to redeem this reward.""","""You are not eligible to redeem this reward."";","""आप इस रिवॉर्ड को रिडीम करने के लिए योग्य नहीं हैं."";","""Anda belum memenuhi syarat untuk mengklaim imbalan ini."";","""귀하는 이 보상에 대한 교환자격이 없습니다."";","""คุณไม่มีสิทธิ์แลกรางวัลนี้"";","""您未符合兌換此獎勵的資格。"";","""You are not eligible to redeem this reward."";","""こちらの特典は利用不可です。"";","""Bạn không đủ điều kiện để được đổi lấy phần thưởng này."";","""你没有资格赎回这笔赏金。"";"
344,Flabuless/LocalizationStrings/Localizable.strings,"""1w""","""1w"";",,,,,,"""1w"";","""1週間"";",,
345,Flabuless/LocalizationStrings/Localizable.strings,"""0 Hrs""","""0 Hrs"";","""0 घंटे "";","""0 Jam"";","""0 시간"";","""0 ชม."";","""0 小時"";","""0 Hrs"";","""0時間"";","""0 Giờ"";","""0小时"";"
346,Flabuless/LocalizationStrings/Localizable.strings,"""Please enable Location Service""","""Please enable Location Service"";","""कृपया लोकेशन सेवा चालू करे दें "";","""Mohon aktifkan Layanan Lokasi"";","""위치 서비스를 켜 주세요"";","""โปรดเปิด Location Service"";","""請開啟定位服務"";","""Please enable Location Service"";","""GPSを有効にしてください"";","""Vui lòng bật Dịch vụ Vị trí"";","""请启用定位服务"";"
347,Flabuless/LocalizationStrings/Localizable.strings,"""Please Select Detail Image""","""Please Select Detail Image"";","""कृपया डीटेल इमेज चुनें "";","""Silakan Pilih Gambar Detail"";","""세부 이미지를 선택해 주세요"";","""โปรดเลือกภาพรายละเอียด"";","""請選擇細節圖像"";","""Please Select Detail Image"";","""詳細画像を選択してください"";","""Vui lòng Chọn Ảnh Đầy đủ"";","""请选择细节图"";"
348,Flabuless/LocalizationStrings/Localizable.strings,"""Select Cateogry""","""Select Cateogry"";","""श्रेणी चुनें "";","""Pilih Kategori"";","""카테고리 선택"";","""เลือกหมวดหมู่"";","""選擇類別"";","""Select Cateogry"";","""カテゴリを選んでください"";","""Chọn Thể loại"";","""选择类别"";"
349,Flabuless/LocalizationStrings/Localizable.strings,"""Cricket""","""Cricket"";","""क्रिकेट"";","""Kriket"";","""크리켓"";","""คริกเก็ท"";","""板球"";","""Cricket"";","""クリケット"";","""Bóng gỗ (Cricket)"";","""板球"";"
350,Flabuless/LocalizationStrings/Localizable.strings,"""Poll Active for (days) :""","""Poll Active for (days) :"";","""मतदान के लिए सक्रिय (दिन):"";","""Poll aktif untuk (hari):"";","""(일) 활성 폴링 :"";","""สํารวจที่ใช้งานอยู่สําหรับ (วัน) :"";","""輪詢活動為(天):"";","""Poll Active for (days) :"";","""（日）アクティブなポーリング："";","""Thăm dò ý kiến hoạt động cho (ngày):"";","""轮询活动为（天）："";"
351,Flabuless/LocalizationStrings/Localizable.strings,"""Show More""","""Show More"";","""और दिखाओ"";","""Menampilkan lebih banyak"";","""자세히보기"";","""แสดงมากขึ้น"";","""展示更多"";","""Show More"";","""もっと見せる"";","""Cho xem nhiều hơn"";","""展示更多"";"
352,Flabuless/LocalizationStrings/Localizable.strings,"""Activity Trackers""","""Activity Trackers"";","""गतिविधियां ट्रैक करने हेतु"";","""Pelacak Aktivitas"";","""활동 트래커"";","""ตัว ติดตาม กิจกรรม"";","""運動追蹤器"";","""Activity Trackers"";","""アクティビティトラッカー"";","""Thiết bị Theo dõi Sức khỏe"";","""运动追踪器"";"
353,Flabuless/LocalizationStrings/Localizable.strings,"""AddActivity""","""Add Activity"";","""गतिविधि जोड़ें"";","""Tambah Aktifitas"";","""활동 추가"";","""เพิ่มกิจกรรม"";","""新增活動"";","""Add Activity"";","""アクティビティ"";","""Thêm Hoạt động"";","""添加活动"";"
354,Flabuless/LocalizationStrings/Localizable.strings,"""EventDetail:SeePhotos:Title""","""See photos %@"";","""See photos %@"";","""See photos %@"";","""See photos %@"";","""See photos %@"";","""See photos %@"";",,"""写真を見る %@"";","""See photos %@"";","""See photos %@"";"
355,Flabuless/LocalizationStrings/Localizable.strings,"""Delivery:ApplierInfo:Alert:FirstName""","""Please enter your name(katakana) for the Applier Info."";","""Please enter your name(katakana) for the Applier Info."";","""Please enter your name(katakana) for the Applier Info."";","""Please enter your name(katakana) for the Applier Info."";","""Please enter your name(katakana) for the Applier Info."";","""Please enter your name(katakana) for the Applier Info."";",,"""申込者情報の名前（カナ）を入力してください。"";","""Please enter your name(katakana) for the Applier Info."";","""Please enter your name(katakana) for the Applier Info."";"
356,Flabuless/LocalizationStrings/Localizable.strings,"""MaxPoint  must be less than""","""MaxPoint  must be less than"";","""से कम MaxPoint होना चाहिए "";","""Poin Maksimal harus kurang dari"";","""최대 포인트는 다음보다 작아야 합니다"";","""MaxPoint  จะต้องน้อยกว่า"";","""最高積分必須少於"";","""MaxPoint  must be less than"";","""最大値は　以下でなければなりません。"";","""Điểm Cao nhất phải nhỏ hơn"";","""MaxPoint 必须小于"";"
357,Flabuless/LocalizationStrings/Localizable.strings,"""Nov""","""Nov"";","""नवम्बर"";","""November"";","""11 월"";","""พฤศจิกายน"";","""十一月"";","""Nov"";","""Nov"";","""Nov"";","""十一月"";"
358,Flabuless/LocalizationStrings/Localizable.strings,"""Ask something""","""Ask something"";","""कुछ पूछें"";","""Tanyakan sesuatu"";","""무언가를 물어보십시오."";","""ถามอะไร"";","""問一些事情"";","""Ask something"";","""何かを求めます"";","""Tanyakan sesuatu"";","""问一些事情"";"
359,Flabuless/LocalizationStrings/Localizable.strings,"""Please Select Event End Date & Time  ""","""Please Select Event End Date & Time  "";","""कृपया इवेंट के समाप्त करने की तारीख और समय चुनें "";","""Silakan Pilih Tanggal & Waktu Acara Selesai"";","""이벤트 종료날짜와 시간을 선택해 주세요"";","""โปรดเลือกวันและเวลาสิ้นสุดกิจกรรม"";","""請選擇活動結束日期與結束時間"";","""Please Select Event End Date & Time  "";","""イベントの終了日時を選択してください"";","""Vui lòng Chọn Ngày tháng  & Thời gian Kết thúc Sự kiện"";","""请选择活动结束日期和时间"";"
360,Flabuless/LocalizationStrings/Localizable.strings,"""PhysicalDelivery:AlertMessage:Delete""","""Are you sure you want to delete this address?"";","""Are you sure you want to delete this address?"";","""Are you sure you want to delete this address?"";","""Are you sure you want to delete this address?"";","""Are you sure you want to delete this address?"";","""Are you sure you want to delete this address?"";",,"""ご登録の住所を削除しますがいいですか？"";","""Are you sure you want to delete this address?"";","""Are you sure you want to delete this address?"";"
361,Flabuless/LocalizationStrings/Localizable.strings,"""Feb""","""Feb"";","""फ़रवरी"";","""Febuari"";","""2 월"";","""กุมภาพันธ์"";","""二月"";","""Feb"";","""Feb"";","""Feb"";","""二月"";"
362,Flabuless/LocalizationStrings/Localizable.strings,"""Rewards:Redemption:TableTitle""","""You have redeemed %d rewards"";","""You have redeemed %d rewards"";","""You have redeemed %d rewards"";","""You have redeemed %d rewards"";","""You have redeemed %d rewards"";","""You have redeemed %d rewards"";","""You have redeemed %d rewards"";","""あなたは%dつの報酬を払い戻した"";","""You have redeemed %d rewards"";","""You have redeemed %d rewards"";"
363,Flabuless/LocalizationStrings/Localizable.strings,"""Address Value is not fetched""","""Address Value is not fetched"";","""एड्रेस वैल्यू प्राप्त नहीं की गई"";","""Data Alamat tidak diterima"";","""주소 값을 가지고 오지 못했습니다"";","""ค่าที่อยู่ยังไม่ถูกดึง"";","""未取得位址值"";","""Address Value is not fetched"";","""住所が取得できません。"";","""Không tìm được Địa chỉ"";","""未能取得地址值"";"
364,Flabuless/LocalizationStrings/Localizable.strings,"""Steps >""","""Steps >"";","""स्टेप्स >"";","""Langkah >"";","""걸음수 >"";","""ก้าว >"";","""步數 >"";","""Steps >"";","""歩数>"";","""Số bước >"";","""步骤>"";"
365,Flabuless/LocalizationStrings/Localizable.strings,"""Please Enter Event Description""","""Please Enter Event Description"";","""कृपया इवेंट का विवरण दर्ज करें "";","""Silakan Masukkan Deskripsi Acara"";","""이벤트 설명을 입력해 주세요"";","""โปรดใส่รายละเอียดกิจกรรม"";","""請輸入活動敘述"";","""Please Enter Event Description"";","""イベントの説明を入力してください"";","""Vui lòng Mô tả Sự kiện"";","""请输入事件描述"";"
366,Flabuless/LocalizationStrings/Localizable.strings,"""Redeemed""","""Redeemed"";","""रिडीम हो गया "";","""Diklaim"";","""교환됨"";","""แลกแล้ว"";","""已兌換"";","""Redeemed"";","""救済された"";","""Đã đổi"";","""赎回的"";"
367,Flabuless/LocalizationStrings/Localizable.strings,"""Bluetooth is unsupported on this platform.""","""Bluetooth is unsupported on this platform."";","""ये प्लेटफार्म ब्लूटूथ का सपोर्ट नहीं करता. "";","""Bluetooth tidak didukung di platform ini."";","""이 플랫폼에서 블루투스는 지원되지 않습니다."";","""แพลตฟอร์มนี้ไม่สนับสนุนบลูทูธ"";","""此平台不支援藍芽裝置。"";","""Bluetooth is unsupported on this platform."";","""Bluetoothはこのプラットフォームではサポートされていません。"";","""Không hỗ trợ Bluetooth trên nền tảng này."";","""这个平台上不支持蓝牙。"";"
368,Flabuless/LocalizationStrings/Localizable.strings,"""CHECK-IN""","""CHECK-IN"";","""चेक-इन "";","""MASUK"";","""체크인"";","""เช็คอิน"";","""簽到"";","""CHECK-IN"";","""チェックイン"";","""THAM GIA SỰ KIỆN"";","""签到"";"
369,Flabuless/LocalizationStrings/Localizable.strings,"""Please enter valid email address.""","""Please enter valid email address."";","""कृपया वैध ईमेल पता दर्ज करें."";","""Mohon masukkan alamat email yang valid."";","""유효한 이메일 주소를 입력해 주세요."";","""โปรดใส่ที่อยู่อีเมลที่ถูกต้อง"";","""請輸入有效的電子信箱地址。"";","""Please enter valid email address."";","""有効なメールアドレスを入力してください。"";","""Vui lòng nhập một địa chỉ email hợp lệ."";","""请输入有效的电子邮件地址。"";"
370,Flabuless/LocalizationStrings/Localizable.strings,"""Rewards""","""Rewards"";","""पुरस्कार "";","""Imbalan"";","""보상"";","""รางวัล"";","""獎勵"";","""Rewards"";","""ポイント交換"";","""Phần thưởng"";","""奖励"";"
371,Flabuless/LocalizationStrings/Localizable.strings,"""Go To DashBoard""","""Go To DashBoard"";","""डैशबोर्ड पर जाएं"";","""Pergi ke DashBoard"";","""대시 보드로 이동"";","""ไปที่แผงควบคุม"";","""轉到DashBoard"";","""Go To DashBoard"";","""ダッシュボードに進め"";","""Đi đến bảng điều khiển"";","""转到DashBoard"";"
372,Flabuless/LocalizationStrings/Localizable.strings,"""Please Crop Detail Image First""","""Please Crop Detail Image First"";","""कृपया पहले डीटेल इमेज क्रॉप करें "";","""Silakan Potong Gambar Detail Lebih Dulu"";","""먼저 세부 이미지를 자르기해 주세요"";","""โปรดครอบตัดภาพรายละเอียดก่อน"";","""請先裁剪細節圖像"";","""Please Crop Detail Image First"";","""詳細画像を最初にトリミングしてください"";","""Trước hết, Vui lòng Cắt chỉnh Ảnh Đầy đủ "";","""请先裁切细节图"";"
373,Flabuless/LocalizationStrings/Localizable.strings,"""Next""","""Next"";","""आगामी"";","""Berikutnya"";","""다음 것"";","""ต่อไป"";","""下一個"";","""Next"";","""次"";","""Kế tiếp"";","""下一个"";"
374,Flabuless/LocalizationStrings/Localizable.strings,"""pm""","""pm"";",,,,,,"""pm"";","""午後"";",,
375,Flabuless/LocalizationStrings/Localizable.strings,"""NUHS Stairs""","""NUHS Stairs"";","""एनयूएचएस स्टेयर्स "";","""Tangga NUHS"";","""NUHS 계단"";","""NUHS Stairs"";","""NUHS 樓梯"";","""NUHS Stairs"";","""NUHS Stairs"";","""Cầu thang NUHS"";","""NUHS 楼梯"";"
