,files,keys,en,vi,ms,th,ru,zh-Hans,ar,id
593,Strings/Localizable.strings,"""Kamphaeng phet""","""Kamphaeng phet"";","""Kamphaeng phet"";","""Kamphaeng phet"";","""กําแพงเพชร"";","""Кампхэнгпхет"";","""Kamphaeng phet"";",,
594,Strings/Localizable.strings,"""Redeeming this reward will deduct""","""Redeeming this reward will deduct"";",,"""Redeeming this reward will deduct"";","""การแลกรางวัลนี้ คะแนนของคุณจะถูกหักออก"";","""При получении этого вознаграждения будет вычтено"";","""兑换此奖励将扣除"";",,"""Menebus ganjaran ini akan dikurangkan"";"
595,Strings/Localizable.strings,"""UnitsSoldMaximumLimit""","""Please enter unit solds less than 9."";",,"""Please enter unit solds less than 9."";","""โปรดป้อนหน่วยที่ขายน้อยกว่า 20"";","""Введите количество проданных единиц, если их менее 9."";","""Please enter unit solds less than 9."";",,"""Sila masukkan unit yang dijual kurang dari 9."";"
596,Strings/Localizable.strings,"""more points to get this reward""","""more points to get this reward"";",,"""more points to get this reward"";","""คะแนนเพิ่มเติมเพื่อรับรางวัลนี้"";","""больше баллов, чтобы получить вознаграждение"";","""还需更多积分才可获得这份奖励"";",,"""lebih banyak mata untuk mendapat ganjaran ini"";"
597,Strings/Localizable.strings,"""Last month""","""Last month"";",,"""Last month"";","""เดือนที่แล้ว"";","""В прошлом месяце"";","""上个月"";",,"""Bulan lepas"";"
598,Strings/Localizable.strings,"""(Optional) Supporting Documents""","""(Optional) Supporting Documents"";",,"""(Pilihan) Dokumen sokongan"";","""(ถ้ามี) เอกสารเพิ่มเติม"";","""(Необязательно) Подтверждающие документы"";","""（可选）证明文件"";",,"""(Opsional) Dokumen Pendukung"";"
599,Strings/Localizable.strings,"""years ago""","""years ago"";",,"""years ago"";","""years ago"";","""лет назад"";","""多年前"";",,"""tahun yang lalu"";"
600,Strings/Localizable.strings,"""Remarks""",,"""Remarks"";",,,"""Strings/ExperianLocalizationFile/Localizable.strings"";",,,
601,Strings/Localizable.strings,""" Ptss""",""" Ptss"";",""" Điểm"";",""" Ptss"";",""" คะแนน"";",""" Баллы"";",""" 积分"";",,""" Mata"";"
602,Strings/Localizable.strings,"""Number""","""Number"";","""Con số"";","""Number"";","""ตัวเลข"";","""Число"";","""数字"";",,"""Number"";"
603,Strings/Localizable.strings,"""Unable to post.""","""Unable to post."";",,"""Unable to post."";","""ไม่สามารถโพสต์ได้"";","""Не получается опубликовать пост."";","""无法发布"";",,
604,Strings/Localizable.strings,"""Redeem discounts at merchant partners""","""Redeem discounts at merchant partners"";",,"""Redeem discounts at merchant partners"";","""Redeem discounts at merchant partners"";","""Обменяйте баллы на скидки у компаний-партнеров"";","""请在商家伙伴处兑换您的奖励。"";",,"""Tebus potongan harga pada rakan niaga"";"
605,Strings/Localizable.strings,"""colleague's Birthday""","""colleague's Birthday"";",,"""colleague's Birthday"";","""วันเกิดของเพื่อนร่วมงาน"";","""день рождения коллеги"";","""同事的生日"";",,"""Hari Lahir rakan sekerja"";"
606,Strings/Localizable.strings,"""You have earned""","""You have earned"";",,"""You have earned"";","""คุณได้รับ"";","""Вы заработали"";","""您已获取"";",,"""Anda telah memperoleh"";"
607,Strings/Localizable.strings,"""Steps Summary""","""Steps Summary"";",,"""Steps Summary"";","""สรุปขั้นตอน"";","""Сводка по шагам"";","""步骤摘要"";",,"""Ringkasan Langkah"";"
608,Strings/Localizable.strings,"""START""","""START"";",,"""START"";","""เริ่มต้น"";","""СТАРТ"";","""开始"";",,"""MULAI"";"
609,Strings/Localizable.strings,"""It’s your birthday""","""It’s your birthday"";",,"""It’s your birthday"";","""มันคือวันเกิดของคุณ"";","""Сегодня у Вас день рождения"";","""今天是你的生日"";",,"""Ini hari lahir anda"";"
610,Strings/Localizable.strings,"""Poll Active for (days) :""","""Poll Active for (days) :"";",,"""Poll Active for (days) :"";","""สํารวจที่ใช้งานอยู่สําหรับ (วัน) :"";","""Опрос активен в течение (дней):"";","""轮询活动为（天）："";",,"""Undian aktif untuk ( Hari ) ："";"
611,Strings/Localizable.strings,"""Pt""","""Pt"";",,"""Pt"";","""คะแนน"";","""Баллы"";","""积分"";",,"""Mata"";"
612,Strings/Localizable.strings,"""Post is unpinned successfully""","""Post is unpinned successfully"";",,"""Post is unpinned successfully"";","""Post is unpinned successfully"";","""Пост успешно откреплен"";","""Post is unpinned successfully"";",,"""Pin siaran telah berjaya dikeluarkan"";"
613,Strings/Localizable.strings,"""Please click on proceed to enter Email and Change your password.""","""Please click on proceed to enter Email and Change your password."";",,"""Please click on proceed to enter Email and Change your password."";","""Please click on proceed to enter Email and Change your password."";","""Чтобы ввести адрес эл. почты и изменить пароль, щелкните «Продолжить»."";","""Please click on proceed to enter Email and Change your password."";",,"""Please click on proceed to enter Email and Change your password."";"
614,Strings/Localizable.strings,"""Tutorial""","""Tutorial"";",,"""Tutorial"";","""บทช่วยสอน"";","""Обучение"";","""讲解"";",,"""Panduan Pengguna"";"
615,Strings/Localizable.strings,"""Message should be at least""","""Message should be at least"";",,"""Message should be at least"";","""Message should be at least"";","""Сообщение должно быть как минимум"";","""Message should be at least"";",,"""Panjang mesej perlu sekurang-kurangnya"";"
616,Strings/Localizable.strings,"""Samut songkhram""","""Samut songkhram"";","""Samut songkhram"";","""Samut songkhram"";","""สมุทรสงคราม"";","""Самутсонгкхрам"";","""Samut songkhram"";",,
617,Strings/Localizable.strings,"""EDIT CLAIM""","""EDIT CLAIM"";","""CHỈNH SỬA BẢN YÊU CẦU"";","""EDIT CLAIM"";","""แก้ไขการเรียกร้อง"";","""ИЗМЕНИТЬ ПРЕТЕНЗИЮ"";","""编辑声明"";",,"""EDIT KLAIM"";"
618,Strings/Localizable.strings,"""Select line manager’s Name""","""Select line manager’s Name"";","""Chọn tên của người quản lý đường dây"";","""Select line manager’s Name"";","""เลือกชื่อผู้จัดการสายงาน"";","""Выберите имя линейного руководителя"";","""选择直线经理的姓名"";",,"""Pilih Nama manajer lini"";"
619,Strings/Localizable.strings,"""Supported by WeAXA""","""Supported by WeAXA"";",,"""Supported by WeAXA"";","""Supported by WeAXA"";","""С поддержкой WeAXA"";","""WeAXA 技术支持"";",,"""Disokong oleh WeAXA"";"
620,Strings/Localizable.strings,"""Supporting Documents""","""Supporting Documents"";",,"""Dokumen sokongan"";","""เอกสารประกอบการ"";","""Подтверждающие документы"";","""证明文件"";",,"""Dokumen pendukung"";"
621,Strings/Localizable.strings,"""It was your""","""It was your"";",,"""It was your"";","""มันเป็นของคุณ"";","""Ваш"";","""是你们的"";",,"""Itu milik anda"";"
622,Strings/Localizable.strings,"""Processed""","""Processed"";",,"""Processed"";","""การประมวลผล"";","""Обработано"";","""处理"";",,"""Telah di proses"";"
623,Strings/Localizable.strings,"""Send Logs""","""Send Logs"";",,"""Send Logs"";","""ส่ง Logs"";","""Отправка логов"";","""发送程序提问"";",,"""hantar maklumat atau butiran"";"
624,Strings/Localizable.strings,"""Have you received your \nphysical voucher?""","""Have you received your \nphysical voucher?"";",,"""Have you received your \nphysical voucher?"";","""คุณได้รับ \nบัตรกำนัลทางกายภาพ?"";","""Вы получили на физическом носителе?"";","""Have you received your \nphysical voucher?"";",,"""Adakah anda telah menerima \ n baucar fizikal anda?"";"
625,Strings/Localizable.strings,"""REJECTED""","""REJECTED"";",,"""REJECTED"";","""ได้รับการปฏิเสธ"";","""ОТКЛОНЕНО"";",""" 图像被拒绝 "";",,"""DITOLAK"";"
626,Strings/Localizable.strings,"""We couldnt read your touch id/face id, Please try again.""","""We couldnt read your touch id/face id, Please try again."";","""Chúng tôi không thể đọc id cảm ứng / id khuôn mặt của bạn, Vui lòng thử lại."";","""We couldnt read your touch id/face id, Please try again."";","""เราอ่านรหัสสัมผัส/รหัสใบหน้าของคุณไม่ได้ โปรดลองอีกครั้ง."";","""กรุณาลองอีกครั้ง."";","""我们无法读取您的触控 ID/面部 ID，请重试."";",,"""Kami tidak dapat membaca id sentuh/id wajah Anda, Silakan coba lagi."";"
627,Strings/Localizable.strings,"""The number of biometric authentication failures has been exceeded. Biometrics are locked. Please enter your passcode and enable biometrics.""","""The number of biometric authentication failures has been exceeded. Biometrics are locked. Please enter your passcode and enable biometrics."";","""Đã vượt quá số lần xác thực sinh trắc học không thành công. Sinh trắc học bị khóa. Vui lòng nhập mật mã của bạn và bật sinh trắc học."";","""The number of biometric authentication failures has been exceeded. Biometrics are locked. Please enter your passcode and enable biometrics."";","""เกินจำนวนความล้มเหลวในการตรวจสอบไบโอเมตริกซ์แล้ว ไบโอเมตริกซ์ถูกล็อค โปรดป้อนรหัสผ่านของคุณและเปิดใช้งานไบโอเมตริกซ์."";","""Превышено количество сбоев биометрической аутентификации. Биометрия заблокирована. Пожалуйста, введите свой пароль и включите биометрию."";","""已超过生物识别身份验证失败的次数。生物识别被锁定。请输入您的密码并启用生物识别."";",,"""Jumlah kegagalan otentikasi biometrik telah terlampaui. Biometrik terkunci. Silakan masukkan kode sandi Anda dan aktifkan biometrik."";"
628,Strings/Localizable.strings,"""Point Rewards""","""Point Rewards"";",,"""Point Rewards"";","""คะแนนสะสม"";","""Вознаграждения за баллы"";","""查看所有积分奖励"";",,"""Ganjaran Mata"";"
629,Strings/Localizable.strings,"""Disconnected to Layer""","""Disconnected to Layer"";",,"""Disconnected to Layer"";","""ตัดการเชื่อมต่อกับเลเยอร์"";","""Disconnected to Layer"";","""于Layer的连接已中断"";",,"""Terputus ke Lapisan"";"
630,Strings/Localizable.strings,"""Poll cannot be active for more than""","""Poll cannot be active for more than"";",,"""Poll cannot be active for more than"";","""การสำรวจความคิดเห็นไม่สามารถใช้ระยะเวลามากกว่า"";","""Опрос не может оставаться активным в течение более"";","""轮询不能超过"";",,"""Undian tidak boleh menyambung aktif lebih dari"";"
631,Strings/Localizable.strings,"""Please enter minimum $10""","""Please enter minimum $10"";",,"""Please enter minimum $10"";","""Please enter minimum $10"";","""Введите сумму не менее 10 долларов США"";","""请输入最低 $10"";",,"""Sila masukkan minimum $ 10"";"
632,Strings/Localizable.strings,"""1 hour ago""","""1 hour ago"";",,"""1 hour ago"";","""1 hour ago"";","""1 час назад"";","""一小时前"";",,"""1 jam yang lalu"";"
633,Strings/Localizable.strings,"""Total Points as of""","""Total Points as of"";",,"""Total Points as of"";","""คะแนนรวม ณ วันที่"";","""Общее кол-во баллов на"";","""积分总数"";",,"""Jumlah Mata setakat"";"
634,Strings/Localizable.strings,"""Ok""","""Ok"";",,"""Ok"";","""ตกลง"";","""OK"";","""还行"";",,"""Ok"";"
635,Strings/Localizable.strings,"""Please enter your Full name.""","""Please enter your Full name."";",,"""Please enter your Full name."";","""กรุณาใส่ชื่อเต็มของคุณ."";","""Введите свои Ф. И. О."";","""请输入姓名"";",,"""Sila masukkan nama penuh anda."";"
636,Strings/Localizable.strings,"""Vendor Passcode""","""Vendor Passcode"";",,"""Vendor Passcode"";","""กรุณาป้อนรหัสผู้ขาย"";","""Код поставщика"";","""供应商的密码"";",,"""Kod Laluan Vendor"";"
637,Strings/Localizable.strings,"""Please kill the app to close your last session""","""Please kill the app to close your last session"";",,"""Please kill the app to close your last session"";","""โปรดฆ่าแอปเพื่อปิดเซสชันล่าสุดของคุณ"";","""Чтобы закрыть последнюю сессию, закройте приложение"";","""如要关闭您的最后一段会话，请停止应用程序"";",,"""Sila bunuh aplikasi untuk menutup sesi terakhir anda"";"
638,Strings/Localizable.strings,"""Top rewards""","""Top rewards"";",,"""Top rewards"";","""ของรางวัลยอดนิยม"";","""Самые ценные вознаграждения"";","""热门奖励"";",,"""Ganjaran Terpilih"";"
639,Strings/Localizable.strings,"""Report Abuse""","""Report Abuse"";",,"""Report Abuse"";","""รายงานการละเมิด"";","""Сообщить о нарушении"";","""报告滥用"";",,"""LAPORKAN KESALAHAN"";"
640,Strings/Localizable.strings,"""vnMorePoints""",""""";",,,""""";",""""";",""""";",,""""";"
641,Strings/Localizable.strings,"""No""","""No"";",,"""No"";","""ไม่ใช่"";","""Нет"";","""否"";",,"""Tidak"";"
642,Strings/Localizable.strings,"""Points will expire on""","""Points will expire on"";",,"""Points will expire on"";","""ของคุณจะหมดอายุในวันที่"";","""Баллы сгорят"";","""Points will expire on"";",,"""Mata akan tamat pada"";"
643,Strings/Localizable.strings,"""Live chat""","""Live chat"";",,"""Live chat"";","""แชท"";","""Онлайн-чат"";","""实时聊天"";",,"""Sembang langsung"";"
644,Strings/Localizable.strings,"""Refer 1 successfully to attain bronze tier""","""Refer 1 successfully to attain bronze tier"";",,"""Refer 1 successfully to attain bronze tier"";","""อ้างอิง 1 สำเร็จเพื่อให้ได้ระดับบรอนซ์"";","""Пригласите одного реферала, чтобы получить бронзовый уровень"";","""每成功推荐1位员工,将达到铜级别"";",,"""Rujuk 1 dengan berjaya untuk mencapai tahap gangsa"";"
645,Strings/Localizable.strings,"""Please select organization""","""Please select organization"";",,"""Please select organization"";","""เลือกองค์กร"";","""Выберите организацию"";","""选择组织"";",,"""Sila pilih organisasi"";"
646,Strings/Localizable.strings,"""Action Required""","""Action Required"";",,"""Action Required"";","""ต้องมีการดำเนินการ"";","""Необходимо действие"";","""需要用户采取某种行动"";",,"""Tindakan diperlukan"";"
647,Strings/Localizable.strings,"""Select brand from dropdown""","""Select brand from dropdown"";",,"""Pilih jenama dari menu lungsur"";","""เลือกแบรนด์จากดรอปดาวน์"";","""Выберите бренд из раскрывающегося списка"";","""从下拉菜单中选择品牌"";",,"""Pilih merek dari dropdown"";"
648,Strings/Localizable.strings,"""Message""","""Message"";",,"""Message"";","""ข่าวสาร"";","""Сообщение"";","""信息"";",,"""Mesej"";"
649,Strings/Localizable.strings,"""Add Number of Units""","""Add Number of Units"";",,"""Tambah Bilangan Unit"";","""เพิ่มจำนวนหน่วย"";","""Добавить количество единиц"";","""添加单元数"";",,"""Tambahkan Jumlah Unit"";"
650,Strings/Localizable.strings,"""colleagues birthday""","""colleagues birthday"";",,"""colleagues birthday"";","""วันเกิดเพื่อนร่วมงาน"";","""день рождения коллеги"";","""同事的生日"";",,"""ulang tahun rakan sekerja"";"
651,Strings/Localizable.strings,"""Get the latest info""","""Get the latest info"";",,"""Get the latest info"";","""รับข้อมูลล่าสุด"";","""Получить свежие данные"";","""获取最新信息"";",,"""Dapatkan maklumat terkini"";"
652,Strings/Localizable.strings,"""Please contact support.""","""Please contact support."";",,"""Please contact support."";","""โปรดติดต่อฝ่ายสนับสนุน"";","""Обратитесь в службу поддержки."";","""Please contact support."";",,"""Sila hubungi sokongan."";"
653,Strings/Localizable.strings,"""Highest Academic Qualification""","""Highest Academic Qualification"";",,"""Highest Academic Qualification"";","""คุณวุฒิการศึกษาสูงสุด"";","""Максимальный достигнутый уровень образования"";","""最高普通学历"";",,"""Kelayakan Akademik Tertinggi"";"
654,Strings/Localizable.strings,"""Unable to open Flabuless SG app, Please install from AppStore  then try again.""","""Unable to open Flabuless SG app, Please install from AppStore  then try again."";",,"""Unable to open Flabuless SG app, Please install from AppStore  then try again."";","""ไม่สามารถเปิดแอป Flabuless SG ได้โปรดติดตั้งจาก AppStore แล้วลองอีกครั้ง"";","""Невозможно открыть приложение Flabuless SG. Установите его из AppStore и повторите попытку."";","""无法开启 Flabuless SG App，请到 AppStore 下载后再重试。"";",,"""Tidak dapat membuka aplikasi Flabuless SG, sila pasang dari AppStore kemudian cuba lagi."";"
655,Strings/Localizable.strings,"""images""","""images"";","""hình ảnh"";","""images"";","""ภาพ"";","""изображений"";","""图片"";",,"""gambar-gambar"";"
656,Strings/Localizable.strings,"""Profile updated failed""","""Profile updated failed"";",,"""Profile updated failed"";","""การอัพเดทโปรไฟล์ล้มเหลว"";","""Не удалось обновить профиль"";","""资料页更新失败"";",,"""Profil dikemas kini gagal"";"
657,Strings/Localizable.strings,"""Enter your email below and we'll send you instructions on how to change your password.""","""Enter your email below and we'll send you instructions on how to change your password."";",,"""Enter your email below and we'll send you instructions on how to change your password."";","""ระบุอีเมลด้านล่างและเราจะทำการจัดส่งคู่มือการเปลี่ยนรหัสผ่านให้ท่าน"";","""Введите адрес эл. почты в поле ниже и на него придут инструкции по смене пароля."";","""请输入您的电邮，好让我们发送更改密码的说明"";",,"""Masukkan e-mel anda di bawah dan kami akan menghantar arahan mengenai cara menukar kata laluan anda."";"
658,Strings/Localizable.strings,"""Unable to post due to""","""Unable to post due to"";",,"""Unable to post due to"";","""ไม่สามารถโพสต์ได้เนื่องจาก"";","""Не удается отправить пост. Причина:"";","""无法发布，由于"";",,
659,Strings/Localizable.strings,"""Others""","""Others"";",,"""Others"";","""คนอื่น ๆ"";","""Другие"";","""其他"";",,"""Lain-lain"";"
660,Strings/Localizable.strings,"""NOMINATE YOURSELF""","""NOMINATE YOURSELF"";","""DUY NHẤT CHÍNH MÌNH"";","""NOMINATE YOURSELF"";","""เสนอชื่อตัวเอง"";","""Назначить себя"";","""提名自己"";",,"""NOMINASI DIRI SENDIRI"";"
661,Strings/Localizable.strings,"""Please enter group name""","""Please enter group name"";",,"""Please enter group name"";","""กรุณาใส่ชื่อกลุ่ม"";","""Введите название группы"";","""请输入组名"";",,"""Sila masukkan nama kumpulan"";"
662,Strings/Localizable.strings,"""IN HIGH DEMAND""","""IN HIGH DEMAND"";",,"""IN HIGH DEMAND"";","""มีความต้องการสินค้าสูง"";","""ПОЛЬЗУЕТСЯ СПРОСОМ"";","""需求量大"";",,"""DALAM PERMINTAAN TINGGI"";"
663,Strings/Localizable.strings,"""Are you sure you want to reset all filter selections to default? ""","""Are you sure you want to reset all filter selections to default? "";",,"""Are you sure you want to reset all filter selections to default? "";","""Are you sure you want to reset all filter selections to default? "";","""Вы точно хотите сбросить все фильтры на значения по умолчанию?"";","""Are you sure you want to reset all filter selections to default? "";",,"""Adakah anda pasti anda mahu untuk menetapkan semula semua penapis selections untuk lalai?"";"
664,Strings/Localizable.strings,"""Phone""","""Phone"";","""Điện thoại"";","""Phone"";","""โทรศัพท์"";","""Телефон"";","""电话"";",,"""Telepon"";"
665,Strings/Localizable.strings,"""This voucher will be marked as ‘Used’.\n\n Do you wish to proceed?""","""This voucher will be marked as ‘Used’.\n\n Do you wish to proceed?"";",,"""This voucher will be marked as ‘Used’.\n\n Do you wish to proceed?"";","""คูปองจะถูกเปลี่ยนว่าใช้แล้ว.\n\n ต้องการให้ดำเนินการต่อหรือไม่"";","""Этот ваучер будет помечен как 'Использовано'.\n\nПродолжить?"";","""此凭证将标记为\""已使用\""。\n\n 是否要继续？"";",,"""Baucar ini akan ditandakan sebagai 'Digunakan'. \ N \ n Adakah anda mahu meneruskan?"";"
666,Strings/Localizable.strings,"""Failed to convert into Int""","""Failed to convert into Int"";",,"""Failed to convert into Int"";","""ไม่สามารถแปลงเป็น Int"";","""Failed to convert into Int"";","""无法转换为Int"";",,"""Gagal menukar menjadi Int"";"
667,Strings/Localizable.strings,"""5 REFERRALS""","""5 REFERRALS"";",,"""5 REFERRALS"";","""5 การอ้างอิง"";","""5 РЕФЕРАЛОВ"";","""金奖"";",,"""5 RUJUKAN"";"
668,Strings/Localizable.strings,"""Pass your phone to the counter staff to key in the pin code.""","""Pass your phone to the counter staff to key in the pin code."";",,"""Pass your phone to the counter staff to key in the pin code."";","""ส่งผ่านโทรศัพท์ของคุณไปยังพนักงานเคาน์เตอร์เพื่อใส่รหัสพิน"";","""Передайте телефон сотрудникам за стойкой – они введут ПИН-код."";","""Pass your phone to the counter staff to key in the pin code."";",,"""Hantarkan telefon anda ke petugas kaunter untuk memasukkan kod pin."";"
669,Strings/Localizable.strings,"""Your voucher code is""","""Your voucher code is"";",,"""Your voucher code is"";","""รหัสโปรโมชั่นของคุณ"";","""Код ваучера"";","""您的优惠卷代码是"";",,"""Kod baucar anda adalah"";"
670,Strings/Localizable.strings,"""OUT OF STOCK""","""OUT OF STOCK"";",,"""OUT OF STOCK"";","""สินค้าหมด"";","""НЕТ В НАЛИЧИИ"";","""缺货"";",,"""KELUAR STOK"";"
671,Strings/Localizable.strings,"""Document""","""Document"";",,"""Document"";","""เอกสาร"";","""Документ"";","""文件"";",,"""Dokumen"";"
672,Strings/Localizable.strings,"""Please check your Internet connection.""","""Please check your Internet connection."";",,"""Please check your Internet connection."";","""โปรดตรวจสอบการเชื่อมต่ออินเทอร์เน็ตของคุณ"";","""Проверьте подключение к Интернету."";","""您的网络连接状况不佳，请查看再重试。"";",,"""Sila periksa sambungan Internet anda."";"
673,Strings/Localizable.strings,"""Add your message here""","""Add your message here"";",,"""Add your message here"";","""เพิ่มข้อความตรงนี้"";","""В это поле введите сообщение"";","""在此处添加邮件"";",,"""Tambahkan mesej anda di sini"";"
674,Strings/Localizable.strings,"""Nakhon nayok""","""Nakhon nayok"";","""Nakhon nayok"";","""Nakhon nayok"";","""นครนายก"";","""Накхоннайок"";","""Nakhon nayok"";",,
675,Strings/Localizable.strings,"""Only s3 & s4 messages can be shared on this platform""","""Only s3 & s4 messages can be shared on this platform"";","""Chỉ có thể chia sẻ tin nhắn s3 & s4 trên nền tảng này"";","""Only s3 & s4 messages can be shared on this platform"";","""สามารถแชร์ข้อความ s3 & s4 บนแพลตฟอร์มนี้ได้เท่านั้น"";","""На этой платформе можно публиковать только сообщения s3 и s4"";","""在此平台上只能共享s3和s4消息"";",,"""Hanya pesan s3 & s4 yang dapat dibagikan di platform ini"";"
676,Strings/Localizable.strings,"""POINTS SUMMARY""","""POINTS SUMMARY"";",,"""POINTS SUMMARY"";","""สรุปคะแนน"";","""СВОДКА ПО БАЛЛАМ"";","""积分总结"";",,"""RINGKASAN POIN"";"
677,Strings/Localizable.strings,"""Phitsanulok""","""Phitsanulok"";","""Phitsanulok"";","""Phitsanulok"";","""พิษณุโลก"";","""Пхитсанулок"";","""Phitsanulok"";",,
678,Strings/Localizable.strings,"""Award""","""Award"";","""Phần thưởng"";","""Award"";","""รางวัล"";","""Награда"";","""奖"";",,"""Menghadiahkan"";"
679,Strings/Localizable.strings,"""Last date to vote""","""Last date to vote"";","""Ngày cuối cùng để bỏ phiếu"";","""Last date to vote"";","""วันสุดท้ายของการลงคะแนน"";","""Last date to vote"";","""最后投票日期"";",,"""Tanggal terakhir untuk memilih"";"
680,Strings/Localizable.strings,"""You""","""You"";",,"""You"";","""คุณ"";","""Вы"";","""您"";",,"""Anda"";"
681,Strings/Localizable.strings,"""JANUARY""","""JANUARY"";",,"""JANUARY"";","""JANUARY"";","""ЯНВАРЬ"";","""1月"";",,"""JANUARI"";"
682,Strings/Localizable.strings,"""Characters""","""Characters"";",,"""Characters"";","""ตัวอักษร"";","""Символы"";","""字符"";",,"""aksara"";"
683,Strings/Localizable.strings,"""NITEC""","""NITEC"";",,"""NITEC"";","""NITEC"";","""NITEC"";","""中专"";",,"""NITEC"";"
684,Strings/Localizable.strings,"""Reference Code""","""Reference Code"";",,"""Reference Code"";","""รหัสอ้างอิง"";","""Справочный код"";","""Reference Code"";",,"""Kod rujukan"";"
685,Strings/Localizable.strings,"""Rewards to redeem""","""Rewards to redeem"";",,"""Rewards to redeem"";","""รางวัลเพื่อแลกรับ"";","""Вознаграждения за баллы"";","""项奖励供您选择兑换"";",,"""Ganjaran untuk menebus"";"
686,Strings/Localizable.strings,"""rd""","""rd"";",,"""rd"";",""""";","""-ий"";","""第三"";",,"""rd"";"
687,Strings/Localizable.strings,"""Please type in your concerns""","""Please type in your concerns"";",,"""Please type in your concerns"";","""Please type in your concerns"";","""Напишите, что вас беспокоит"";","""Please type in your concerns"";",,"""Sila taip masalah anda"";"
688,Strings/Localizable.strings,"""Browse all""","""Browse all"";",,"""Browse all"";","""ค้นหาทั้งหมด"";","""Поиск по всем"";","""浏览全部"";",,"""Layari Semua"";"
689,Strings/Localizable.strings,"""Email""","""Email"";",,"""Email"";","""อีเมล์"";","""Эл. почта"";","""电子邮件"";",,"""E-mel"";"
690,Strings/Localizable.strings,"""Collect points and redeem your rewards at our merchant partners""","""Collect points and redeem your rewards at our merchant partners"";",,"""Collect points and redeem your rewards at our merchant partners"";","""สะสมคะแนนและแลกของรางวัลที่คู่ค้าของเรา"";","""Набирайте баллы и обменивайте их на вознаграждения от наших партнеров"";","""收集积分并在商家伙伴处兑换您的奖励"";",,"""Kumpulkan mata dan tebus hadiah anda di rakan niaga kami"";"
691,Strings/Localizable.strings,"""Hide my appreciation messages""","""Hide my appreciation messages"";",,"""Hide my appreciation messages"";","""ซ่อนข้อความชื่นชมของฉัน"";","""Скрыть сообщения с благодарностями"";","""隐藏我的赞赏信息"";",,"""Sembunyikan mesej penghargaan saya"";"
692,Strings/Localizable.strings,"""Mon to Fri, 10am - 6pm""","""Mon to Fri, 10am - 6pm"";",,"""Mon to Fri, 10am - 6pm"";","""จันทร์ ถึง ศุกร์, 10.00 - 18.00 น."";","""ПН-ПТ с 10:00 до 18:00"";","""周一至周五，上午 10 点至下午 6 点"";",,"""Isnin – Jumaat ; 10am – 6pm"";"
693,Strings/Localizable.strings,"""minutes ago""","""minutes ago"";","""cách đây nhiều phút"";","""minutes ago"";","""minutes ago"";","""минут назад"";","""几分钟前"";",,"""minit yang lalu"";"
694,Strings/Localizable.strings,"""Event Name""","""Event Name"";",,"""Event Name"";","""อีเวนท์"";","""Название события"";","""Event Name"";",,"""Nama acara"";"
695,Strings/Localizable.strings,"""Enter PayNow registered phone number""","""Enter PayNow registered phone number"";",,"""Enter PayNow registered phone number"";","""ระบุเบอร์โทรที่ได้ลงทะเบียนกับ PayNow"";","""Введите номер телефона, зарегистрированный в сервисе PayNow"";","""输入 PayNow 注册电话号码"";",,"""Masukkan nombor telefon berdaftar PayNow"";"
696,Strings/Localizable.strings,"""This contact has multiple email address.Select the one you want to use.?""","""This contact has multiple email address.Select the one you want to use.?"";",,"""This contact has multiple email address.Select the one you want to use.?"";","""ผู้ติดต่อนี้มีที่อยู่อีเมลหลายแห่งเลือกที่อยู่ที่คุณต้องการใช้"";","""У этого контактного лица несколько адресов эл. почты. Выберите один."";","""这个联系人有多个电邮地址，请任选一个。"";",,"""Kenalan ini mempunyai banyak alamat e-mel. Pilih yang anda mahu gunakan.?"";"
697,Strings/Localizable.strings,"""Filter by Organization""","""Filter by Organization"";",,"""Filter by Organization"";","""กรองโดยองค์กร"";","""Фильтровать по организациям"";","""按组织筛选"";",,"""Tapis mengikut Organisasi"";"
698,Strings/Localizable.strings,"""week ago""","""week ago"";",,"""week ago"";","""week ago"";","""неделю назад"";","""一个星期前"";",,"""seminggu yang lalu"";"
699,Strings/Localizable.strings,"""APR""","""APR"";",,"""APR"";","""APR"";","""APR"";","""4月"";",,"""APR"";"
700,Strings/Localizable.strings,"""We unable to send OTP to your registered mobile, Please contact admin for assistance.""","""We unable to send OTP to your registered mobile, Please contact admin for assistance."";",,"""We unable to send OTP to your registered mobile, Please contact admin for assistance."";","""เราไม่สามารถส่ง OTP ไปยังมือถือที่ลงทะเบียนของคุณได้โปรดติดต่อผู้ดูแลระบบเพื่อขอความช่วยเหลือ"";","""Не удалось отправить одноразовый пароль на мобильный телефон, указанный при регистрации. Обратитесь к администратору за помощью."";","""我们无法将验证码发送到您所注册的手机号码，请联系管理员寻求帮助"";",,"""Kami tidak dapat mengirim OTP ke telefon bimbit berdaftar anda. Hubungi admin untuk mendapatkan bantuan."";"
701,Strings/Localizable.strings,"""My Nominations""","""My Nominations"";","""Đề cử của tôi"";","""My Nominations"";","""การเสนอชื่อของฉัน"";","""การเสนอชื่อของฉัน"";","""我的提名"";",,"""Nominasi saya"";"
702,Strings/Localizable.strings,"""Add""","""Add"";",,"""Add"";","""เพิ่ม"";","""ДОБАВИТЬ"";","""添加"";",,"""Tambah"";"
703,Strings/Localizable.strings,"""Invalid request""","""Invalid request"";",,"""Invalid request"";","""คำขอไม่ถูกต้อง"";","""Неверный запрос"";","""请求无效"";",,"""Permintaan tidak sah"";"
